"","Width","Length","Southwest","fit"
"190",32.6,10.5,0,0.374945019167638
"191",32.9,10.5,0,0.388650568266659
"192",33.2,10.5,0,0.402344569168121
"193",33.5,10.5,0,0.41600552239998
"194",33.8,10.5,0,0.429612842517845
"195",34.1,10.5,0,0.443146882546338
"196",34.4,10.5,0,0.456589015840959
"197",34.7,10.5,0,0.469921721478135
"198",35,10.5,0,0.483128620887455
"199",35.3,10.5,0,0.49619450113284
"200",35.6,10.5,0,0.509105326415026
"201",35.9,10.5,0,0.521848238857249
"202",36.2,10.5,0,0.534411549687226
"203",36.5,10.5,0,0.546784721935039
"204",36.8,10.5,0,0.558958345737959
"205",37.1,10.5,0,0.570924107290874
"206",37.4,10.5,0,0.582674740059321
"207",37.7,10.5,0,0.594203852757766
"208",38,10.5,0,0.605505936733897
"209",38.3,10.5,0,0.616576410987241
"210",38.6,10.5,0,0.627411575342541
"211",38.9,10.5,0,0.63800856047533
"212",39.2,10.5,0,0.648365276944662
"213",39.5,10.5,0,0.658480363795525
"214",39.8,10.5,0,0.668353137244515
"215",8,11,0,0.000740578238452657
"216",8.3,11,0,0.000801898513568534
"217",8.6,11,0,0.000868667150646953
"218",8.9,11,0,0.000941397940308866
"219",9.2,11,0,0.00102065564265973
"220",9.5,11,0,0.00110706100632657
"221",9.8,11,0,0.00120129620770528
"222",10.1,11,0,0.00130411093494232
"223",10.4,11,0,0.00141632904914526
"224",10.7,11,0,0.00153885592133145
"225",11,11,0,0.00167268644764678
"226",11.3,11,0,0.00181891386042623
"227",11.6,11,0,0.0019787393344594
"228",11.9,11,0,0.00215348248239192
"229",12.2,11,0,0.00234459280316731
"230",12.5,11,0,0.00255366218722891
"231",12.8,11,0,0.0027824384132489
"232",13.1,11,0,0.00303283984714413
"233",13.4,11,0,0.00330697141114197
"234",13.7,11,0,0.0036071418686829
"235",14,11,0,0.00393588249389225
"236",14.3,11,0,0.00429596711905521
"237",14.6,11,0,0.00469043355634335
"238",14.9,11,0,0.00512260676400599
"239",15.2,11,0,0.00559612318428727
"240",15.5,11,0,0.00611495671531809
"241",15.8,11,0,0.00668344623542151
"242",16.1,11,0,0.00730632370109339
"243",16.4,11,0,0.00798874342329742
"244",16.7,11,0,0.00873631288339647
"245",17,11,0,0.00955512425077114
"246",17.3,11,0,0.0104517860822622
"247",17.6,11,0,0.0114334545656014
"248",17.9,11,0,0.0125078626773495
"249",18.2,11,0,0.0136833497233999
"250",18.5,11,0,0.0149688871829801
"251",18.8,11,0,0.0163741006736027
"252",19.1,11,0,0.0179092860764408
"253",19.4,11,0,0.0195854212146457
"254",19.7,11,0,0.0214141678648558
"255",20,11,0,0.0234078642365181
"256",20.3,11,0,0.0255795033740013
"257",20.6,11,0,0.0279426991723746
"258",20.9,11,0,0.0305116430260745
"259",21.2,11,0,0.0333010342724592
"260",21.5,11,0,0.0363259961990959
"261",21.8,11,0,0.039601967664116
"262",22.1,11,0,0.0431445746333255
"263",22.4,11,0,0.0469694883148326
"264",22.7,11,0,0.0510922707471666
"265",23,11,0,0.0555282040059493
"266",23.3,11,0,0.0602920945060961
"267",23.6,11,0,0.0653980721699235
"268",23.9,11,0,0.0708593872135057
"269",24.2,11,0,0.0766882092044258
"270",24.5,11,0,0.0828954194375909
"271",24.8,11,0,0.0894904172421677
"272",25.1,11,0,0.0964809315658067
"273",25.4,11,0,0.103872864562425
"274",25.7,11,0,0.111670150704892
"275",26,11,0,0.119874635788348
"276",26.3,11,0,0.128485994816469
"277",26.6,11,0,0.137501688181944
"278",26.9,11,0,0.146916939174055
"279",27.2,11,0,0.156724738087957
"280",27.5,11,0,0.166915881417979
"281",27.8,11,0,0.177479041918689
"282",28.1,11,0,0.188400865710549
"283",28.4,11,0,0.1996660860299
"284",28.7,11,0,0.211257660255719
"285",29,11,0,0.223156922779053
"286",29.3,11,0,0.235343755841889
"287",29.6,11,0,0.247796763833045
"288",29.9,11,0,0.26049345610273
"289",30.2,11,0,0.273410436729423
"290",30.5,11,0,0.286523603058519
"291",30.8,11,0,0.299808353670459
"292",31.1,11,0,0.313239788815725
"293",31.4,11,0,0.32679289795326
"294",31.7,11,0,0.340442739114233
"295",32,11,0,0.354164608470478
"296",32.3,11,0,0.367934189095219
"297",32.6,11,0,0.381727664022771
"298",32.9,11,0,0.395521840306774
"299",33.2,11,0,0.409294288838866
"300",33.5,11,0,0.423023472106189
"301",33.8,11,0,0.4366888283882
"302",34.1,11,0,0.450270791621784
"303",34.4,11,0,0.463750869235593
"304",34.7,11,0,0.477111723342039
"305",35,11,0,0.490337202480152
"306",35.3,11,0,0.503412359917652
"307",35.6,11,0,0.516323460191078
"308",35.9,11,0,0.529057975023533
"309",36.2,11,0,0.541604569791438
"310",36.5,11,0,0.553953081701825
"311",36.8,11,0,0.566094490800674
"312",37.1,11,0,0.578020884871934
"313",37.4,11,0,0.589725406762388
"314",37.7,11,0,0.601202077886323
"315",38,11,0,0.612445803036791
"316",38.3,11,0,0.623452413262139
"317",38.6,11,0,0.634218616409496
"318",38.9,11,0,0.644741944811271
"319",39.2,11,0,0.655020702283316
"320",39.5,11,0,0.665053910993097
"321",39.8,11,0,0.674841258702103
"322",8,11.5,0,0.000769694290458629
"323",8.3,11.5,0,0.000833293395328339
"324",8.6,11.5,0,0.000902532875684971
"325",8.9,11.5,0,0.000977943708385771
"326",9.2,11.5,0,0.00106010945526728
"327",9.5,11.5,0,0.00114967143010501
"328",9.8,11.5,0,0.00124733429635001
"329",10.1,11.5,0,0.00135387232801883
"330",10.4,11.5,0,0.00147013626285639
"331",10.7,11.5,0,0.00159706084914724
"332",11,11.5,0,0.00173567308786662
"333",11.3,11.5,0,0.00188710129110098
"334",11.6,11.5,0,0.00205258495493691
"335",11.9,11.5,0,0.00223348554299022
"336",12.2,11.5,0,0.00243129824545404
"337",12.5,11.5,0,0.00264766481964795
"338",12.8,11.5,0,0.00288438744283472
"339",13.1,11.5,0,0.00314344379392202
"340",13.4,11.5,0,0.00342700343220464
"341",13.7,11.5,0,0.00373744551835085
"342",14,11.5,0,0.00407737794640208
"343",14.3,11.5,0,0.00444965787739416
"344",14.6,11.5,0,0.00485741366797478
"345",14.9,11.5,0,0.00530406857405062
